Time ,Time (s),Force (N),Load Cell,Pre Time (s),Time (s),Force (N),Instron,,,
50:10,94.00,200.3,,39.372,32.024,33.5197,,,,
50:11,95.00,215.6,,39.54,32.192,38.5528,,,,
50:11,95.00,234,,39.682,32.334,43.5889,,,,
50:12,96.00,249.2,,39.84,32.492,48.6272,,,,
50:12,96.00,268,,39.98,32.632,53.6377,,,,
50:13,97.00,283.4,,40.15,32.802,58.647,,,,
50:13,97.00,302.1,,40.308,32.96,63.7326,,,,
50:14,98.00,317.9,,40.474,33.126,68.7472,,,,
50:14,98.00,336.4,,40.636,33.288,73.7651,,,,
50:15,99.00,352.2,,40.81,33.462,78.7931,,,,
50:15,99.00,370.9,,40.974,33.626,83.8705,,,,
50:16,100.00,386.9,,41.134,33.786,88.9312,,,,
50:16,100.00,405.9,,41.286,33.938,93.9386,,,,
50:17,101.00,421.3,,41.426,34.078,98.9505,,,,
50:17,101.00,440.5,,41.61,34.262,103.9675,,,,
50:18,102.00,450.5,,41.734,34.386,108.9772,,,,
50:18,102.00,429,,41.912,34.564,114.0735,,,,
50:19,103.00,409.3,,42.066,34.718,119.1093,,,,
50:19,103.00,393.1,,42.238,34.89,124.1857,,,,
50:20,104.00,373.6,,42.412,35.064,129.2647,,,,
50:20,104.00,357.5,,42.552,35.204,134.3245,,,,
50:21,105.00,338.3,,42.728,35.38,139.3763,,,,
50:21,105.00,322.1,,42.882,35.534,144.3824,,,,
50:22,106.00,303,,43.016,35.668,149.4267,,,,
50:22,106.00,286.9,,43.174,35.826,154.457,,,,
50:23,107.00,267.7,,43.33,35.982,159.5388,,,,
50:23,107.00,252,,43.494,36.146,164.5916,,,,
50:24,108.00,232.8,,43.664,36.316,169.6224,,,,
50:24,108.00,217,,43.816,36.468,174.6366,,,,
50:25,109.00,198.1,,43.968,36.62,179.6472,,,,
50:25,109.00,182.5,,44.094,36.746,184.6908,,,,
50:26,110.00,164.1,,44.248,36.9,189.7277,,,,
50:26,110.00,148.5,,44.424,37.076,194.7341,,,,
50:27,111.00,130.4,,44.568,37.22,199.8271,,,,
50:27,111.00,115.3,,44.746,37.398,204.9144,,,,
50:28,112.00,97.7,,44.876,37.528,209.9363,,,,
50:28,112.00,83.7,,45.042,37.694,214.9572,,,,
50:29,113.00,67.4,,45.182,37.834,219.9885,,,,
50:29,113.00,54.5,,45.306,37.958,225.0632,,,,
